"origin_geoid","conteo","suma_trip_scaled_ratio","geometry","longitud","latitud"
"1300100010043001",1,30.33,c(-98.438870328812, 20.1448774891365),-98.438870328812,20.1448774891365
"1300100040039006",1,24.57,c(-98.4518500965061, 20.1516455003115),-98.4518500965061,20.1516455003115
"1300100150024001",1,457.07,c(-98.4356088341616, 20.1404750102429),-98.4356088341616,20.1404750102429
"1300100150024006",1,23.44,c(-98.4336231940597, 20.1428887263499),-98.4336231940597,20.1428887263499
"13001001A",2,21.55,c(-98.4453341324307, 20.2755993226096),-98.4453341324307,20.2755993226096
"130010020001A016",1,3.37,c(-98.4608660480185, 20.2542749511747),-98.4608660480185,20.2542749511747
"130010024",1,11.53,c(-98.445668441164, 20.1232263810246),-98.445668441164,20.1232263810246
"1300100270024049",1,5.06,c(-98.3873543734344, 20.165517738101),-98.3873543734344,20.165517738101
"1300100310024021",1,18.64,c(-98.430120194823, 20.1530482533806),-98.430120194823,20.1530482533806
"1300100660039015",2,26.77,c(-98.4234454756266, 20.1222099060092),-98.4234454756266,20.1222099060092
"1300100660039043",1,9.12,c(-98.4392738873253, 20.1281158659567),-98.4392738873253,20.1281158659567
"130020001013A016",1,152.51,c(-98.2021817106177, 20.1580015402318),-98.2021817106177,20.1580015402318
"130020001013A029",1,8.26,c(-98.1998788346202, 20.1618627734149),-98.1998788346202,20.1618627734149
"1300200070214003",1,1,c(-98.1671533264944, 20.1529426565618),-98.1671533264944,20.1529426565618
"130020040",3,33.07,c(-98.1866685669293, 20.1145146062671),-98.1866685669293,20.1145146062671
"1300200450017002",22,532.86,c(-98.2095147024314, 20.1899264520659),-98.2095147024314,20.1899264520659
"1300300010103003",3,32.51,c(-98.9573140273455, 20.2748078171751),-98.9573140273455,20.2748078171751
"1300300010103006",2,14.37,c(-98.953580343099, 20.2748349375342),-98.953580343099,20.2748349375342
"1300300010103009",2,110.28,c(-98.9592788590067, 20.2774503105962),-98.9592788590067,20.2774503105962
"1300300010118004",1,15.03,c(-98.9300203847557, 20.2752535351979),-98.9300203847557,20.2752535351979
"1300300010118023",7,160.69,c(-98.930382885793, 20.2787733294995),-98.930382885793,20.2787733294995
"1300300010118027",3,22.77,c(-98.9284115173507, 20.2696368233882),-98.9284115173507,20.2696368233882
"1300300010118035",1,4.15,c(-98.9322732919366, 20.2776634739544),-98.9322732919366,20.2776634739544
"1300300010122021",2,5.02,c(-98.9543162572861, 20.2663720714295),-98.9543162572861,20.2663720714295
"1300300010122025",1,8.02,c(-98.9463339314884, 20.2554892411675),-98.9463339314884,20.2554892411675
"1300300010141002",2,47.94,c(-98.9609749525972, 20.269141117761),-98.9609749525972,20.269141117761
"1300300010141003",1,9.3,c(-98.962130757072, 20.2679099819698),-98.962130757072,20.2679099819698
"1300300010141039",3,93.32,c(-98.9612734727853, 20.2645226043807),-98.9612734727853,20.2645226043807
"1300300010141045",5,94.46,c(-98.959548534358, 20.2657564505263),-98.959548534358,20.2657564505263
"1300300010141059",1,1,c(-98.9601780154096, 20.2729647931908),-98.9601780154096,20.2729647931908
"1300300010141061",4,183.33,c(-98.9626292353039, 20.2697039717016),-98.9626292353039,20.2697039717016
